39.96   # distance
4.3  0.0   # stellar m/l, error
82.939205069 76.126749226  90.103094801  # incl
1.463776123547165  18.891350675685175  0.10167342640194296 # incl error
  1.123  7.0662e+09  7.0662e+09  7.0796e+09  7.0055e+09  7.0055e+09  7.0189e+09  5.9273e+07  5.9273e+07  5.9273e+07
  1.173  7.4368e+09  7.4368e+09  7.4496e+09  7.3707e+09  7.3707e+09  7.3835e+09  6.4671e+07  6.4671e+07  6.4671e+07
  1.226  7.7986e+09  7.7986e+09  7.8107e+09  7.7266e+09  7.7266e+09  7.7387e+09  7.0560e+07  7.0560e+07  7.0560e+07
  1.281  8.1498e+09  8.1498e+09  8.1612e+09  8.0714e+09  8.0714e+09  8.0827e+09  7.6984e+07  7.6984e+07  7.6984e+07
  1.338  8.4895e+09  8.4895e+09  8.5001e+09  8.4041e+09  8.4041e+09  8.4146e+09  8.3992e+07  8.3992e+07  8.3992e+07
  1.398  8.8174e+09  8.8174e+09  8.8272e+09  8.7243e+09  8.7243e+09  8.7342e+09  9.1637e+07  9.1637e+07  9.1637e+07
  1.460  9.1341e+09  9.1341e+09  9.1434e+09  9.0327e+09  9.0327e+09  9.0420e+09  9.9976e+07  9.9976e+07  9.9976e+07
  1.525  9.4413e+09  9.4413e+09  9.4501e+09  9.3308e+09  9.3308e+09  9.3396e+09  1.0907e+08  1.0907e+08  1.0907e+08
  1.593  9.7412e+09  9.7412e+09  9.7499e+09  9.6208e+09  9.6208e+09  9.6294e+09  1.1899e+08  1.1899e+08  1.1899e+08
  1.665  1.0037e+10  1.0037e+10  1.0046e+10  9.9058e+09  9.9058e+09  9.9145e+09  1.2982e+08  1.2982e+08  1.2982e+08
  1.739  1.0332e+10  1.0332e+10  1.0341e+10  1.0189e+10  1.0189e+10  1.0198e+10  1.4162e+08  1.4162e+08  1.4162e+08
  1.817  1.0632e+10  1.0632e+10  1.0641e+10  1.0476e+10  1.0476e+10  1.0485e+10  1.5450e+08  1.5450e+08  1.5450e+08
  1.898  1.0939e+10  1.0939e+10  1.0950e+10  1.0769e+10  1.0769e+10  1.0780e+10  1.6854e+08  1.6854e+08  1.6854e+08
  1.983  1.1259e+10  1.1259e+10  1.1271e+10  1.1074e+10  1.1074e+10  1.1086e+10  1.8385e+08  1.8385e+08  1.8385e+08
  2.071  1.1596e+10  1.1596e+10  1.1610e+10  1.1394e+10  1.1394e+10  1.1408e+10  2.0056e+08  2.0056e+08  2.0056e+08
  2.164  1.1955e+10  1.1955e+10  1.1970e+10  1.1735e+10  1.1735e+10  1.1750e+10  2.1877e+08  2.1877e+08  2.1877e+08
